,subject,task,sensor,start,stop,length,outliers,extended,continuous,fixed,final_start,final_stop,Start_dif,Stop_dif,Start_dif_1s,Start_dif_notes,Stop_dif_1s,Stop_dif_notes,pair_start,pair_stop
141,PDMotion_0013_Test,PS,right_2,10.3375,58.6375,48.3,True,-1.0,3,chunk,13.4,26.3,0.0125,1.0875,0,,0,,13.3875,26.3
142,PDMotion_0013_Test,PS,left_1,46.875,57.9375,11.0625,False,-1.0,-1,regular,46.875,57.9375,0.0,0.0,0,,0,,46.875,57.9375
143,PDMotion_0013_Test,PS,left_2,3.1,57.9625,54.8625,True,-1.0,3,pair,46.875,57.9375,0.0,0.0,0,,0,,46.875,57.9375
144,PDMotion_0013_Test,HM,right_1,12.3375,23.9625,11.625,False,-1.0,-1,regular,12.3375,23.9625,0.0375,0.0125,0,,0,,12.3375,23.9625
145,PDMotion_0013_Test,HM,right_2,12.375,23.95,11.575,False,-1.0,-1,regular,12.375,23.95,0.0375,0.0125,0,,0,,12.3375,23.9625
146,PDMotion_0013_Test,HM,left_1,44.3875,53.525,9.1375,False,54.3875,-1,extended,44.3875,54.3875,0.0,0.0,0,,0,,44.3875,54.3875
147,PDMotion_0013_Test,HM,left_2,41.675,67.4625,25.7875,True,-1.0,3,pair,44.3875,54.3875,0.0,0.0,0,,0,,44.3875,54.3875
148,PDMotion_0013_Test,FT,right_1,8.25,79.875,71.625,True,-1.0,4,chunk_extend,72.125,82.125,0.15,0.15,0,,0,,71.975,82.125
149,PDMotion_0013_Test,FT,right_2,2.7625,79.8625,77.1,True,-1.0,4,chunk_extend,71.975,81.975,0.15,0.15,0,,0,,71.975,82.125
150,PDMotion_0013_Test,FT,left_1,114.9625,119.9375,4.975,False,124.9625,-1,extended,114.9625,124.9625,0.0,0.0,0,,0,,114.9625,124.9625
151,PDMotion_0013_Test,FT,left_2,3.9625,120.0,116.0375,True,-1.0,3,pair,114.9625,124.9625,0.0,0.0,0,,0,,114.9625,124.9625
152,PDMotion_0013_Test,TT,right_1,7.475,26.95,19.475,False,-1.0,-1,regular,7.475,26.95,0.0375,0.0,0,,0,,7.4375,26.95
153,PDMotion_0013_Test,TT,right_2,7.4375,26.95,19.5125,False,-1.0,-1,regular,7.4375,26.95,0.0375,0.0,0,,0,,7.4375,26.95
154,PDMotion_0013_Test,TT,left_1,46.6875,56.8125,10.125,False,-1.0,-1,regular,46.6875,56.8125,0.0125,0.0375,0,,0,,46.675,56.8125
155,PDMotion_0013_Test,TT,left_2,46.675,56.775,10.1,False,-1.0,-1,regular,46.675,56.775,0.0125,0.0375,0,,0,,46.675,56.8125
156,PDMotion_0013_Test,LA,right_1,8.15,21.925,13.775,False,-1.0,-1,regular,8.15,21.925,0.0125,0.0125,0,,0,,8.15,21.925
157,PDMotion_0013_Test,LA,right_2,8.1625,21.9125,13.75,False,-1.0,-1,regular,8.1625,21.9125,0.0125,0.0125,0,,0,,8.15,21.925
158,PDMotion_0013_Test,LA,left_1,34.425,41.1125,6.6875,False,44.425,-1,extended,34.425,44.425,0.025,0.025,0,,0,,34.425,44.45
159,PDMotion_0013_Test,LA,left_2,34.45,41.05,6.6,False,44.45,-1,extended,34.45,44.45,0.025,0.025,0,,0,,34.425,44.45
160,PDMotion_0029_Retest,PS,right_1,37.175,47.425,10.25,False,-1.0,-1,regular,37.175,47.425,0.0125,0.0375,0,,0,,37.175,47.425
161,PDMotion_0029_Retest,PS,right_2,37.1875,47.3875,10.2,False,-1.0,-1,regular,37.1875,47.3875,0.0125,0.0375,0,,0,,37.175,47.425
162,PDMotion_0029_Retest,PS,left_1,15.3,25.6,10.3,False,-1.0,-1,regular,15.3,25.6,0.05,0.625,0,,0,,15.25,26.225
163,PDMotion_0029_Retest,PS,left_2,15.25,26.225,10.975,False,-1.0,-1,regular,15.25,26.225,0.05,0.625,0,,0,,15.25,26.225
